image_path,image_name,ground_truth,method,probability,prediction,inference_time,error
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,cnndetection,1.9579136922853735e-10,0,0.26118969917297363,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,ganimagedetection,0.0008357983705808768,0,1.7348747253417969,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,universalfakedetect,0.9553956389427185,1,1.7608368396759033,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,hifi_ifdl,0.45505115389823914,0,0.01575946807861328,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,npr_deepfakedetection,0.0,0,0.11785674095153809,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,dmimagedetection,0.02416449598968029,0,1.5185370445251465,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,caddm,0.3929438591003418,0,0.8586549758911133,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,faceforensics_plus_plus,0.333469530538423,0,1.0021555423736572,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,ensemble_voting,0.125,0,5.902339220046997,
experiment/Fake/fake_69.jpg,fake_69.jpg,Fake,ensemble_average,0.5404651192589438,0,5.7968080043792725,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,cnndetection,3.2923999637723966e-10,0,0.2181410789489746,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,ganimagedetection,0.0015871888747979808,0,1.3266408443450928,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,universalfakedetect,0.10646633803844452,0,1.4802191257476807,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,hifi_ifdl,0.4145723581314087,0,0.0071353912353515625,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,npr_deepfakedetection,0.0,0,0.10498380661010742,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,dmimagedetection,0.10524681210517883,0,1.3386249542236328,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,caddm,0.3779813349246979,0,0.5056183338165283,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,faceforensics_plus_plus,0.33384816263181466,0,0.7765448093414307,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,ensemble_voting,0.0,0,6.002060174942017,
experiment/Fake/fake_41.jpg,fake_41.jpg,Fake,ensemble_average,0.3349255487588956,0,5.781761884689331,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,cnndetection,0.025053510442376137,0,0.1887972354888916,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,ganimagedetection,0.12516441933141023,0,1.3221170902252197,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,universalfakedetect,0.9888889193534851,1,1.4054293632507324,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,hifi_ifdl,0.4326106905937195,0,0.007202625274658203,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,npr_deepfakedetection,0.0,0,0.08441686630249023,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,dmimagedetection,0.20192444324493408,0,1.347536563873291,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,caddm,0.3870300054550171,0,0.6048893928527832,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,faceforensics_plus_plus,0.33355658150200423,0,0.8306112289428711,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,ensemble_voting,0.125,0,5.778367042541504,
experiment/Fake/fake_55.jpg,fake_55.jpg,Fake,ensemble_average,0.6235571424807366,0,5.806272506713867,
experiment/Fake/fake_82.jpg,fake_82.jpg,Fake,cnndetection,1.0944370409937676e-12,0,0.19321179389953613,
